WORD FREQUENCY MAP
Unique Words: 296

KEY                 VALUE               
----------------------------------------
(also               24
1920                1
1922                1
1923                1
1924                2
1925                1
1926                1
1927                1
1928                1
1929                2
1930                2
1931                1
1932                2
1933                2
1934                4
1935                2
1936                3
1937                3
1938                2
1939                3
1940                2
1941                2
1942                1
1943                2
1944                1
1945                2
1946                1
1947                1
1948                2
1949                1
1950                2
1951                2
1952                2
1953                2
1954                1
1955                1
1956                1
1957                1
1958                1
1959                1
1960                1
1961                2
1962                1
1963                1
1964                1
1965                1
1966                1
1967                1
1968                1
1969                1
1970                1
1971                2
1972                1
1973                1
1974                1
1975                1
1976                1
1979                1
19??                1
3                   1
4.50                1
A                   6
ABC                 1
Ackroyd             1
Acts)               1
Adventure           1
Adversary           1
Affair              1
After               2
Air)                1
Among               1
And                 7
Announced           1
Appointment         1
Ask                 1
At                  8
Baghdad             1
Ball                1
Bay                 1
Bertram’s         1
Big                 1
Blind               1
Blue                1
Body                1
Boomerang           1
Brown               1
Buckle              1
By                  2
Calais              1
Came                1
Can                 1
Cards               1
Caribbean           1
Case                1
Cases               2
Cat                 1
Chimneys            1
Christmas           2
Client)             1
Clocks              1
Clouds              1
Club                1
Clue)               1
Coach)              1
Comes               1
Crack’d           1
Crack’d)          1
Crime               1
Crooked             1
Curtain:            1
Cyanide             1
Cypress             1
Dead                3
Death               7
Death)              2
Destination         1
Detective)          1
Dials               1
Dickory             1
Didn’t            1
Dies                1
Dinner)             1
Do                  1
Double              1
Dumb                1
Early               1
Easy                2
Edgware             1
Elephants           1
End                 2
Endless             1
Evans               1
Evil                1
Express             1
Fatal)              1
Fate                1
Final               1
Finger              1
Five                1
Flood               1
Folly               1
Four                1
Frankfurt           1
Full                1
Funeral             1
Funerals            1
Girl                1
Golden              1
Halloween           1
Hazelmoor)          1
Hercules            2
Hickory             1
Holiday             1
Hollow              1
Horse               1
Hotel               1
Hound               1
Hours)              1
House               2
House)              1
Indians             1
Innocence           1
Investigates        2
It                  1
Kill                1
Labours             1
Last                1
Library             1
Links               1
Listerdale          1
Little              3
Lord                1
Loses               1
M?                  1
Man                 1
Many                1
Man’s             2
Marple’s          1
McGillicuty         1
McGinty’s         1
Mesopotamia         1
Mews                1
Mice)               1
Mill                1
Mirror              2
Mirror)             1
Mirrors             1
Mirrors)            1
Miss                1
Morterblumen        1
Mousetrap           1
Moving              1
Mr.                 2
Mrs.                2
Murder              15
Murder)             1
Murders             2
Murders)            1
Mysterious          2
Mystery             7
N                   1
Nemesis             1
Niggers             1
Night               1
Nile                1
None                1
One,                1
Ordeal              1
Orient              1
Other               5
Paddington          1
Pale                1
Parker              2
Partners            1
Party               1
Passenger           1
Patriotic           1
Peril               1
Pigeons             1
Pigs                1
Pocket              1
Poirot              2
Poirot’s          3
Pollensa            1
Postern             1
Pricking            1
Problem             1
Problems            1
Prosecution         1
Pudding             1
Pyne                1
Pyne,               1
Quin                1
Regatta             1
Remember            1
Remembered          1
Retrospect)         1
Roger               1
Rye                 1
Sad                 1
Saw)                1
Secret              2
Seven               1
Shoe                1
Side                2
Sin                 1
Sittaford           1
Sleeping            1
So                  1
Sparkling           1
Steps               1
Stories             5
Styles              1
Suit                1
Sun                 1
Table               1
Taken               1
Ten                 2
The                 53
Then                1
There               2
They                3
Third               1
Thirteen            2
Three               1
Three-Act           1
Thumbs              1
Tide…)            1
Towards             1
Tragedy             1
Train               1
Tuesday             1
Two,                1
Under               1
Underdog            1
Unknown             1
Vicarage            1
Were                1
What                1
Why                 1
Witness             2
Zero                1
are                 1
as                  24
for                 2
from                2
in                  10
is                  3
known               24
my                  2
of                  10
on                  5
or                  1
to                  5
with                3
–                 84
----------------------------------------
